URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-06-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,134,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-06-30,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,123,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders list,2022-08-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,81,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-04-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,210,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-16,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,76,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-10-09,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,22,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-07-05,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,118,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-05-25,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,159,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-21,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,10,1,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-28,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,95,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-09-05,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,56,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-08-09,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,83,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-08-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,68,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-01,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,30,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-08-22,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,70,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-04-19,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,195,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-04-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,187,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-05-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,166,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-10,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,82,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-07-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,119,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-06-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,134,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-10-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,20,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-05-02,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,182,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-07-31,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,92,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-06-29,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,124,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-28,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,3,1,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending services,2022-08-23,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,69,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,84,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-09-14,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,47,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-06-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,145,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-08-18,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,74,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-07-11,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,112,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,prime mortgage,2022-08-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,88,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,best mortgage lenders to work for,2022-05-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,180,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-06-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,135,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-08-03,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,89,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-12,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,111,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale loans,2022-07-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,103,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,65,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-07-25,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,98,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-04-21,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,193,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-04-09,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,205,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-08-13,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,79,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-10-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,11,1,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale loans,2022-06-17,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,136,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-09-14,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,47,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-05-01,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,183,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-17,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,75,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-05,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,118,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-06-15,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,138,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,simple mortgage,2022-07-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,96,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-19,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,12,1,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-07-02,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,121,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-05-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,160,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage wholesale,2022-09-25,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,36,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-05-13,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,171,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,CDFI,2022-04-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,196,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-08-20,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,72,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-05-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,157,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-09-29,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,32,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage wholesale,2022-10-02,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,29,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,prime mortgage,2022-06-08,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,145,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-08-28,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,64,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,CDFI,2022-06-03,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,150,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-07-27,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,96,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage wholesale,2022-09-07,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,54,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-09-07,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,54,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-06-24,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,129,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,CDFI,2022-06-30,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,123,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,community impact,2022-05-16,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,168,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-07-07,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,116,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-07-29,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,94,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage broker,2022-04-21,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,193,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-09-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,53,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-09-19,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,42,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-03,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,89,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-06-12,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,141,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage broker,2022-10-26,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,5,1,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage broker,2022-09-24,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,37,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-06-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,135,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-09-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,57,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-05,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,87,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage broker,2022-04-27,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,187,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-08-19,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,73,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-04-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,203,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-09-14,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,47,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-08-29,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,63,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage wholesale,2022-09-26,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,35,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-06-23,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,130,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-08-02,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,90,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-10-12,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,19,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,84,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,simple mortgage,2022-06-26,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,127,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-08-05,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,87,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-09-07,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,54,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-09-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,37,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-05-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,176,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-06-09,4,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,144,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-10-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,23,0,0,NA,NA,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
